link,Description,Details
https://agridata.ec.europa.eu/extensions/IndicatorsSocioEconomic/Population.html,Population,Population by type of region in EU-27
https://agridata.ec.europa.eu/extensions/IndicatorsSocioEconomic/Population.html,Population,Population by type of region change in population (%)
https://agridata.ec.europa.eu/extensions/IndicatorsSocioEconomic/Population.html,Population,Population distribution by type of region
https://agridata.ec.europa.eu/extensions/IndicatorsSocioEconomic/Population.html,Population,Population by type of area in EU-27
https://agridata.ec.europa.eu/extensions/IndicatorsSocioEconomic/Population.html,Population,Share of population by type of area
https://agridata.ec.europa.eu/extensions/DashboardIndicators/AddingValue.html,Adding value,Products under EU quality scheme
https://agridata.ec.europa.eu/extensions/DashboardIndicators/AddingValue.html,Adding value,Products under EU quality Schemes (number of products)
https://agridata.ec.europa.eu/extensions/DashboardIndicators/AddingValue.html,Adding value,Distribution of EU quality schemes in %
https://agridata.ec.europa.eu/extensions/DashboardIndicators/AddingValue.html,Adding value,Share of F&V production maketed by producer Organizations (%)
https://agridata.ec.europa.eu/extensions/DashboardIndicators/AddingValue.html,Adding value,Share fo raw milk delivered by recognized producer organizations (%)
https://agridata.ec.europa.eu/extensions/DashboardIndicators/AddingValue.html,Adding value,Distribution of gross value added along the food chain (million euro)
https://agridata.ec.europa.eu/extensions/DashboardIndicators/AddingValue.html,Adding value,Share of holdings received RD support for participating in quality schemes (%)
https://agridata.ec.europa.eu/extensions/DashboardIndicators/Soil.html,Soil Quality,Soil organic matter in arable land (Mega ton & g / kg)
https://agridata.ec.europa.eu/extensions/DashboardIndicators/Soil.html,Soil Quality,Share of UAA in severe risk of soil erosion by water (%)
https://agridata.ec.europa.eu/extensions/DashboardIndicators/Soil.html,Soil Quality,Share of agriculture land under contracts to improve soil (%)
https://agridata.ec.europa.eu/extensions/DashboardIndicators/Soil.html,Soil Quality,Crop diversity on EU farms (%)
https://agridata.ec.europa.eu/extensions/DashboardIndicators/Soil.html,Soil Quality,Farms with 1 arable crop by size (%)
https://agridata.ec.europa.eu/extensions/DashboardIndicators/Soil.html,Soil Quality,Share of CAP beneficiaries subject to crop diversification due to greening (%)
https://agridata.ec.europa.eu/extensions/DashboardIndicators/Soil.html,Soil Quality,Farms with 3 arable crops or more by farm size class (%)
https://agridata.ec.europa.eu/extensions/DashboardIndicators/Soil.html,Soil Quality,Share of land subject o crop diversification due to greening (%)
